gene	ensgid	group	in_B3	in_F144	lof_pLI	lof_LOEUF	mis_z	pli_ge_09	loeuf_lt_035	mis_z_top_decile	mis_z_ge_309	biological_category	biological_source
ACKR1	ENSG00000213088	bg	False	False	0.01936	1.841	-0.38415	False	False	False	False		
ACKR2	ENSG00000144648	bg	False	False	0.11759	1.934	0.80443	False	False	False	False		
ACKR3	ENSG00000144476	bg	False	False	0.98139	0.492	1.6942	True	False	False	False		
ACKR4	ENSG00000129048	bg	False	False	0.12264	1.218	3.5586	False	False	True	True		
ACLY	ENSG00000131473	bg	False	False	1.0	0.401	4.2591	True	False	True	True		
ACMSD	ENSG00000153086	bg	False	False	1.8164e-08	1.063	0.12934	False	False	False	False		
ACO1	ENSG00000122729	bg	False	False	1.5512e-14	0.839	2.1148	False	False	False	False		
ACO2	ENSG00000100412	bg	False	False	0.98113	0.489	4.3358	True	False	True	True		
ACOD1	ENSG00000102794	bg	False	False	0.0022454	1.53	1.0182	False	False	False	False		
ACOT1	ENSG00000184227	bg	False	False	0.20157	1.531	2.9932	False	False	True	False		
ACOT11	ENSG00000162390	bg	False	False	5.9288999999999995e-21	1.088	0.74673	False	False	False	False		
ACOT12	ENSG00000172497	bg	False	False	4.8476e-13	0.92	-0.4157	False	False	False	False		
ACOT13	ENSG00000112304	bg	False	False	0.00061171	1.452	0.31598	False	False	False	False		
ACOT2	ENSG00000119673	bg	False	False	6.9664e-05	1.191	0.27326	False	False	False	False		
ACOT4	ENSG00000177465	bg	False	False	9.9825e-06	1.586	0.05887	False	False	False	False		
ACOT6	ENSG00000205669	bg	False	False	6.8e-08	1.96	-0.49539	False	False	False	False		
ACOT7	ENSG00000097021	bg	False	False	0.99457	0.468	2.0883	True	False	False	False		
ACOT8	ENSG00000101473	bg	False	False	5.8302e-10	1.096	1.1075	False	False	False	False		
ACOX1	ENSG00000161533	bg	False	False	1.7103e-05	0.67	3.067	False	False	True	False		
ACOX2	ENSG00000168306	bg	False	False	3.611e-16	0.914	1.0739	False	False	False	False		
ACOX3	ENSG00000087008	bg	False	False	8.4687e-23	1.114	-0.086507	False	False	False	False		
ACOXL	ENSG00000153093	bg	False	False	1.718e-23	1.239	0.8373	False	False	False	False		
ACP1	ENSG00000143727	bg	False	False	1.4858e-07	1.547	0.26275	False	False	False	False		
ACP2	ENSG00000134575	bg	False	False	1.017e-06	0.804	1.3402	False	False	False	False		
ACP3	ENSG00000014257	bg	False	False	4.4344e-07	1.079	0.3975	False	False	False	False		
ACP4	ENSG00000142513	bg	False	False	3.0241e-19	1.413	-0.72954	False	False	False	False		
ACP5	ENSG00000102575	bg	False	False	8.6434e-08	1.14	1.4621	False	False	False	False		
ACP6	ENSG00000162836	bg	False	False	1.4193e-16	1.313	0.665	False	False	False	False		
ACP7	ENSG00000183760	bg	False	False	1.1195e-18	1.147	0.62811	False	False	False	False		
ACR	ENSG00000100312	bg	False	False	0.00030852	0.943	1.291	False	False	False	False		
ACRBP	ENSG00000111644	bg	False	False	6.8612e-13	0.911	1.2919	False	False	False	False		
ACRV1	ENSG00000134940	bg	False	False	0.0023017	0.822	0.81692	False	False	False	False		
ACSBG1	ENSG00000103740	bg	False	False	0.0031721	0.594	2.0511	False	False	False	False		
ACSBG2	ENSG00000130377	bg	False	False	3.6935e-16	0.99	1.3583	False	False	False	False		
ACSF2	ENSG00000167107	bg	False	False	6.4482e-12	0.844	1.8965	False	False	False	False		
ACSF3	ENSG00000176715	bg	False	False	2.6576999999999998e-36	1.715	-2.0014	False	False	False	False		
ACSL1	ENSG00000151726	bg	False	False	0.047811	0.555	2.1766	False	False	False	False		
ACSL3	ENSG00000123983	bg	False	False	0.010744	0.605	2.5061	False	False	False	False		
ACSL5	ENSG00000197142	bg	False	False	1.4483e-07	0.702	1.2545	False	False	False	False		
ACSL6	ENSG00000164398	bg	False	False	0.0007987	0.584	2.3193	False	False	False	False		
ACSM1	ENSG00000166743	bg	False	False	2.6229e-26	1.248	0.88969	False	False	False	False		
ACSM2A	ENSG00000183747	bg	False	False	3.0224000000000004e-25	1.233	-0.029019	False	False	False	False		
ACSM2B	ENSG00000066813	bg	False	False	1.3754e-15	0.956	0.094022	False	False	False	False		
ACSM3	ENSG00000005187	bg	False	False	5.1473e-16	0.999	1.0961	False	False	False	False		
ACSM4	ENSG00000215009	bg	False	False	1.0931e-19	1.072	1.1472	False	False	False	False		
ACSM5	ENSG00000183549	bg	False	False	1.6829e-15	1.003	0.14866	False	False	False	False		
ACSS1	ENSG00000154930	bg	False	False	7.0052e-07	0.712	1.878	False	False	False	False		
ACSS2	ENSG00000131069	bg	False	False	5.553e-10	0.785	1.6667	False	False	False	False		
ACSS3	ENSG00000111058	bg	False	False	2.5819e-14	0.931	0.93209	False	False	False	False		
ACTA1	ENSG00000143632	bg	False	False	3.1036e-06	0.931	6.0949	False	False	True	True		
ACTA2	ENSG00000107796	bg	False	False	0.99431	0.472	4.6189	True	False	True	True		
ACTB	ENSG00000075624	bg	False	False	1.0	0.193	7.6921	True	True	True	True		
ACTBL2	ENSG00000169067	bg	False	False	1.9762e-12	1.624	-0.11385	False	False	False	False		
ACTC1	ENSG00000159251	bg	False	False	0.97314	0.511	6.3225	True	False	True	True		
ACTG1	ENSG00000184009	bg	False	False	0.45871	0.617	4.8895	False	False	True	True		
ACTG2	ENSG00000163017	bg	False	False	0.28166	0.626	4.3554	False	False	True	True		
ACTL10	ENSG00000288649	bg	False	False	0.0027436	1.947	-1.4842	False	False	False	False		
ACTL6A	ENSG00000136518	bg	False	False	1.0	0.186	3.6318	True	True	True	True		
ACTL6B	ENSG00000077080	bg	False	False	9.6229e-13	0.954	3.3742	False	False	True	True		
ACTL7A	ENSG00000187003	bg	False	False	1.0553e-08	1.182	0.52133	False	False	False	False		
ACTL7B	ENSG00000148156	bg	False	False	1.8885e-07	1.414	-0.60995	False	False	False	False		
ACTL8	ENSG00000117148	bg	False	False	0.60141	0.756	1.9958	False	False	False	False		
ACTL9	ENSG00000181786	bg	False	False	0.18716	1.575	-0.55083	False	False	False	False		
ACTN1	ENSG00000072110	bg	False	False	1.0	0.331	5.2049	True	True	True	True		
ACTN2	ENSG00000077522	bg	False	False	0.99996	0.432	2.2746	True	False	False	False		
ACTN3	ENSG00000248746	bg	False	False	1.1649000000000001e-24	0.944	-0.33789	False	False	False	False		
ACTN4	ENSG00000130402	bg	False	False	1.0	0.238	5.6941	True	True	True	True		
ACTR10	ENSG00000131966	bg	False	False	5.1056e-05	1.148	0.48863	False	False	False	False		
ACTR1A	ENSG00000138107	bg	False	False	0.99999	0.337	4.1158	True	True	True	True		
ACTR1B	ENSG00000115073	bg	False	False	2.6759e-09	0.968	0.67004	False	False	False	False		
ACTR2	ENSG00000138071	bg	False	False	1.0	0.177	4.5219	True	True	True	True		
ACTR3	ENSG00000115091	bg	False	False	0.99496	0.461	3.1102	True	False	True	True		
ACTR3B	ENSG00000133627	bg	False	False	0.99999	0.328	3.5918	True	True	True	True		
ACTR3C	ENSG00000106526	bg	False	False	0.00028858	1.046	1.1904	False	False	False	False		
ACTR5	ENSG00000101442	bg	False	False	1.2267e-12	0.986	-0.16572	False	False	False	False		
ACTR6	ENSG00000075089	bg	False	False	2.2941e-06	1.017	1.9492	False	False	False	False		
ACTR8	ENSG00000113812	bg	False	False	7.1878e-17	1.033	1.3668	False	False	False	False		
ACTRT2	ENSG00000169717	bg	False	False	0.28829	1.307	0.55155	False	False	False	False		
ACTRT3	ENSG00000184378	bg	False	False	4.6633e-07	1.242	0.6078	False	False	False	False		
ACVR1	ENSG00000115170	bg	False	False	2.4131e-08	0.835	2.9548	False	False	True	False		
ACVR1B	ENSG00000135503	bg	False	False	0.99992	0.403	4.548	True	False	True	True		
ACVR1C	ENSG00000123612	bg	False	False	0.17453	0.6	1.9661	False	False	False	False		
ACVR2A	ENSG00000121989	bg	False	False	1.0	0.222	4.7321	True	True	True	True		
ACVR2B	ENSG00000114739	bg	False	False	0.99995	0.408	3.0549	True	False	True	False		
ACVRL1	ENSG00000139567	bg	False	False	0.51066	0.57	3.1905	False	False	True	True		
ACY1	ENSG00000243989	bg	False	False	1.516e-09	0.9	1.2671	False	False	False	False		
ACY3	ENSG00000132744	bg	False	False	1.6724e-06	1.196	0.034173	False	False	False	False		
ACYP1	ENSG00000119640	bg	False	False	0.0058814	1.301	1.0091	False	False	False	False		
ACYP2	ENSG00000170634	bg	False	False	0.067045	1.728	-0.40844	False	False	False	False		
ADA	ENSG00000196839	bg	False	False	9.64e-15	1.184	0.4697	False	False	False	False		
ADA2	ENSG00000093072	bg	False	False	5.39e-06	0.879	0.32476	False	False	False	False		
ADAD1	ENSG00000164113	bg	False	False	4.1725e-06	0.778	1.3454	False	False	False	False		
ADAD2	ENSG00000140955	bg	False	False	4.0954000000000005e-25	1.524	-4.6822	False	False	False	False		
ADAL	ENSG00000168803	bg	False	False	7.6328e-10	1.204	1.1002	False	False	False	False		
ADAM10	ENSG00000137845	bg	False	False	1.0	0.276	3.9218	True	True	True	True		
ADAM11	ENSG00000073670	bg	False	False	0.00045604	0.584	2.3911	False	False	False	False		
ADAM12	ENSG00000148848	bg	False	False	9.8869e-15	0.818	1.7643	False	False	False	False		
ADAM15	ENSG00000143537	bg	False	False	1.2469e-17	0.826	1.5426	False	False	False	False		
ADAM17	ENSG00000151694	bg	False	False	0.10138	0.565	2.5759	False	False	False	False		
ADAM18	ENSG00000168619	bg	False	False	2.4743000000000002e-29	1.585	-0.80755	False	False	False	False		
ADAM19	ENSG00000135074	bg	False	False	2.7622e-13	0.739	1.5181	False	False	False	False		
ADAM2	ENSG00000104755	bg	False	False	4.654e-11	1.188	0.01471	False	False	False	False		
ADAM20	ENSG00000134007	bg	False	False	0.11894	1.933	0.73694	False	False	False	False		
ADAM21	ENSG00000139985	bg	False	False	0.1411	1.913	2.3347	False	False	False	False		
ADAM22	ENSG00000008277	bg	False	False	0.55288	0.518	2.2901	False	False	False	False		
ADAM23	ENSG00000114948	bg	False	False	0.99999	0.416	1.9745	True	False	False	False		
ADAM28	ENSG00000042980	bg	False	False	1.434e-25	1.23	-0.30369	False	False	False	False		
ADAM29	ENSG00000168594	bg	False	False	0.0081078	1.939	0.82639	False	False	False	False		
ADAM30	ENSG00000134249	bg	False	False	0.15001	1.903	0.61184	False	False	False	False		
ADAM32	ENSG00000197140	bg	False	False	5.8986e-14	1.041	0.0019488	False	False	False	False		
ADAM33	ENSG00000149451	bg	False	False	6.2756e-39	1.291	-1.7468	False	False	False	False		
ADAM7	ENSG00000069206	bg	False	False	2.2771999999999997e-22	1.16	-0.41696	False	False	False	False		
ADAM8	ENSG00000151651	bg	False	False	2.8382999999999997e-40	1.423	-1.401	False	False	False	False		
ADAM9	ENSG00000168615	bg	False	False	0.0018051	0.575	2.3253	False	False	False	False		
ADAMDEC1	ENSG00000134028	bg	False	False	1.3303e-14	1.234	0.096702	False	False	False	False		
ADAMTS1	ENSG00000154734	bg	False	False	1.0	0.329	0.124	True	True	False	False		
ADAMTS10	ENSG00000142303	bg	False	False	0.99647	0.467	3.8057	True	False	True	True		
ADAMTS12	ENSG00000151388	bg	False	False	2.9445e-26	0.782	1.483	False	False	False	False		
ADAMTS13	ENSG00000160323	bg	False	False	9.996300000000001e-30	0.917	0.92747	False	False	False	False		
ADAMTS14	ENSG00000138316	bg	False	False	2.8381e-27	0.966	0.80769	False	False	False	False		
ADAMTS15	ENSG00000166106	bg	False	False	0.034184	0.599	-0.068291	False	False	False	False		
ADAMTS16	ENSG00000145536	bg	False	False	1.8384e-19	0.794	-0.20053	False	False	False	False		
ADAMTS17	ENSG00000140470	bg	False	False	2.2942e-31	0.966	-1.5379	False	False	False	False		
ADAMTS18	ENSG00000140873	bg	False	False	1.0763e-48	1.055	-4.093	False	False	False	False		
ADAMTS19	ENSG00000145808	bg	False	False	5.2776e-18	0.83	-0.38527	False	False	False	False		
ADAMTS2	ENSG00000087116	bg	False	False	0.0010101	0.568	1.4864	False	False	False	False		
ADAMTS20	ENSG00000173157	bg	False	False	5.8816e-51	0.947	-0.18347	False	False	False	False		
ADAMTS3	ENSG00000156140	bg	False	False	1.2131e-09	0.67	0.95069	False	False	False	False		
ADAMTS4	ENSG00000158859	bg	False	False	9.9457e-07	0.732	1.3266	False	False	False	False		
ADAMTS5	ENSG00000154736	bg	False	False	7.5384e-12	0.818	0.66177	False	False	False	False		
ADAMTS6	ENSG00000049192	bg	False	False	1.0	0.228	4.2154	True	True	True	True		
ADAMTS7	ENSG00000136378	bg	False	False	6.597800000000001e-19	0.761	1.0363	False	False	False	False		
ADAMTS8	ENSG00000134917	bg	False	False	1.1516e-15	1.076	-0.68993	False	False	False	False		
ADAMTS9	ENSG00000163638	bg	False	False	0.86871	0.469	1.5284	False	False	False	False		
ADAMTSL1	ENSG00000178031	bg	False	False	1.5858000000000001e-24	0.744	-2.762	False	False	False	False		
ADAMTSL2	ENSG00000197859	bg	False	False	2.271e-08	0.679	1.0796	False	False	False	False		
ADAMTSL3	ENSG00000156218	bg	False	False	2.8223e-20	0.692	1.6692	False	False	False	False		
ADAMTSL4	ENSG00000143382	bg	False	False	1.1088e-25	0.92	0.93574	False	False	False	False		
ADAMTSL5	ENSG00000185761	bg	False	False	7.070499999999999e-23	1.407	-2.309	False	False	False	False		
ADAP1	ENSG00000105963	bg	False	False	5.3209e-08	0.949	-1.2391	False	False	False	False		
ADAP2	ENSG00000184060	bg	False	False	1.9318e-11	1.031	0.77108	False	False	False	False		
ADAR	ENSG00000160710	bg	False	False	0.99972	0.449	3.4201	True	False	True	True		
ADARB1	ENSG00000197381	bg	False	False	1.0	0.323	3.7351	True	True	True	True		
ADARB2	ENSG00000185736	bg	False	False	0.0044744	0.681	-1.5461	False	False	False	False		
ADAT1	ENSG00000065457	bg	False	False	2.0916000000000002e-19	1.193	-1.4041	False	False	False	False		
ADAT2	ENSG00000189007	bg	False	False	3.754e-08	1.326	0.80136	False	False	False	False		
ADAT3	ENSG00000213638	bg	False	False	0.00056981	1.929	-4.89	False	False	False	False		
ADCK1	ENSG00000063761	bg	False	False	5.801e-09	0.916	0.56128	False	False	False	False		
ADCK2	ENSG00000133597	bg	False	False	2.7368e-09	0.921	1.2849	False	False	False	False		
