dataset,cell_type,tf,n_cis_variants,min_p,min_q,min_fdr,lead_sig,rsid_best
OneK1K_Yazar_2022,cd4et,CDKN1A,3973,0.0032215113874587,0.115141620455679,0.421611182436641,False,rs262918
OneK1K_Yazar_2022,cd4et,CEBPB,3956,0.0051701678610251,0.465255666819436,0.819639858476459,False,rs34663353
OneK1K_Yazar_2022,cd4et,EGR1,2142,0.0044896532842411,0.409599000012264,0.680918579829443,False,rs79996949
OneK1K_Yazar_2022,cd4et,FOS,3058,0.000697576840163,0.197749097777997,0.492873225843416,False,rs56896884
OneK1K_Yazar_2022,cd4et,IRF1,2903,2.95908543057547e-05,0.0119330739501446,0.10277380807514,False,rs7734334
OneK1K_Yazar_2022,cd4et,JUNB,2854,0.0039492107233935,0.537607342765711,0.756374916471763,False,rs4926301
OneK1K_Yazar_2022,cd4et,KLF10,4515,0.0005704573473116,0.122173104726396,0.365369093479496,False,rs12542813
OneK1K_Yazar_2022,cd4nc,ATF3,3522,0.0039222787993927,0.18899260574331,0.515092996132203,False,rs7540109
OneK1K_Yazar_2022,cd4nc,CDKN1A,3973,0.0005222472627038,0.0180442480515662,0.117632357569497,False,rs10947677
OneK1K_Yazar_2022,cd4nc,CEBPB,3956,0.0001896114017186,0.021591133553575,0.108194756639508,False,rs6067341
OneK1K_Yazar_2022,cd4nc,EGR1,2142,0.0033442492054229,0.157413603647507,0.42752480623228,False,rs11746435
OneK1K_Yazar_2022,cd4nc,EGR2,3848,0.0012994214334816,0.0819837194291157,0.291075073266258,False,rs77724785
OneK1K_Yazar_2022,cd4nc,FOS,3058,0.0076981666235328,0.283808562870112,0.566384365780224,False,rs11623534
OneK1K_Yazar_2022,cd4nc,IRF1,2964,1.11639963779088e-06,0.0001898151176184,0.0018483580012569,True,rs3846731
OneK1K_Yazar_2022,cd4nc,JUNB,2854,0.0133108503686094,0.468616192129491,0.743729098162469,False,rs76182213
OneK1K_Yazar_2022,cd4nc,KLF10,4515,0.0001421283258352,0.0116140150202807,0.0836544255177926,False,rs77430682
OneK1K_Yazar_2022,cd4sox4,CEBPB,3956,0.0004108313050079,0.479822494232234,0.743721500218123,False,rs1693987
OneK1K_Yazar_2022,cd4sox4,FOS,3058,0.0020055720260701,0.909188425859623,1.0,False,rs9323602
OneK1K_Yazar_2022,cd4sox4,IRF1,2903,0.0108340575620161,0.908597589774692,1.0,False,rs4475253
OneK1K_Yazar_2022,cd4sox4,JUNB,2854,5.86158718431781e-05,0.407278650403391,1.0,False,rs62108466
OneK1K_Yazar_2022,cd8et,ATF3,3522,0.002796849708493,0.254472837805588,0.577451655759681,False,rs6682640
OneK1K_Yazar_2022,cd8et,CDKN1A,3973,0.0023697609779201,0.0713468323131467,0.307002092666972,False,rs13198515
OneK1K_Yazar_2022,cd8et,CEBPB,3956,0.0002072128266372,0.0279855391378361,0.126261158336347,False,rs8119515
OneK1K_Yazar_2022,cd8et,EGR1,2142,0.0003536800613734,0.0499851458070744,0.195166542685742,False,rs10491336
OneK1K_Yazar_2022,cd8et,EGR2,3848,0.0014984644447821,0.156361682965429,0.39426199225976,False,rs117850949
OneK1K_Yazar_2022,cd8et,FOS,3058,0.0045722766521956,0.327776614842791,0.59816766795611,False,rs56239808
OneK1K_Yazar_2022,cd8et,IRF1,3110,2.81613457880491e-10,1.7449417111704e-07,5.17354939874995e-06,True,rs35426692
OneK1K_Yazar_2022,cd8et,JUNB,2854,0.0046059640435896,0.429451666770614,0.71981950775244,False,rs55877809
OneK1K_Yazar_2022,cd8et,KLF10,4515,0.0003766582170461,0.0649949093809822,0.225660203180226,False,rs35347573
OneK1K_Yazar_2022,cd8nc,ATF3,3522,0.0003544281129324,0.0722272840533459,0.302278674756189,False,rs11581036
OneK1K_Yazar_2022,cd8nc,CDKN1A,3973,0.0003680895055855,0.0200951739555878,0.107019009311277,False,rs2145047
OneK1K_Yazar_2022,cd8nc,CEBPB,3956,0.000450843230064,0.0853577405997196,0.317883596775542,False,rs238196
OneK1K_Yazar_2022,cd8nc,EGR1,2142,0.0212680061573664,0.540700695057661,0.775703619659543,False,rs34470928
OneK1K_Yazar_2022,cd8nc,EGR2,3848,0.0024062212095137,0.238584557801633,0.535481676111903,False,rs61865724
OneK1K_Yazar_2022,cd8nc,FOS,3058,0.00423974825762,0.369621290885348,0.671034646318876,False,rs11625566
OneK1K_Yazar_2022,cd8nc,IRF1,2903,2.80753287198513e-05,0.0073096858220801,0.0576255948106882,False,rs11242110
OneK1K_Yazar_2022,cd8nc,JUNB,2854,0.0080721654082393,0.547333550791132,0.818849839598619,False,rs4926301
OneK1K_Yazar_2022,cd8nc,KLF10,4515,0.0003343269250774,0.0603327661426289,0.24720860915749,False,rs1265119
OneK1K_Yazar_2022,cd8s100b,ATF3,3522,0.0121024275815531,0.755287620602005,0.877722244220306,False,rs1434892
OneK1K_Yazar_2022,cd8s100b,CDKN1A,3973,0.0008251113039121,0.029226517318167,0.179053665264137,False,rs76933890
OneK1K_Yazar_2022,cd8s100b,CEBPB,3956,0.0006226589201414,0.220567806263902,0.535865345578211,False,rs1887934
OneK1K_Yazar_2022,cd8s100b,EGR1,2142,0.0066180053877861,0.56629504252123,0.766401924046546,False,rs41298968
OneK1K_Yazar_2022,cd8s100b,FOS,3058,0.0015080331549688,0.458285349262686,0.724191453039975,False,rs56896884
OneK1K_Yazar_2022,cd8s100b,IRF1,2903,0.0011904854639681,0.308029722621858,0.625325646697872,False,rs6887411
OneK1K_Yazar_2022,cd8s100b,JUNB,2854,0.0050517491529007,0.717009240010433,0.857769877009937,False,rs62111200
OneK1K_Yazar_2022,cd8s100b,KLF10,4515,0.0018455129691805,0.308001945576887,0.465054677658787,False,rs4734611
OneK1K_Yazar_2022,dc,ATF3,3522,0.0015406256421767,0.553988104685658,0.714775047323062,False,rs72747775
OneK1K_Yazar_2022,dc,CDKN1A,3973,0.0004961565134413,0.0156201653951232,0.109138561807124,False,rs4714070
OneK1K_Yazar_2022,dc,CEBPB,3956,0.0020495644691174,0.535200340501544,0.862696223328417,False,rs74770203
OneK1K_Yazar_2022,dc,EGR1,2142,0.0057749505687475,0.779622933557534,0.921091466149725,False,rs77017794
OneK1K_Yazar_2022,dc,FOS,3058,7.57314915298201e-05,0.130285073372884,0.524949546373734,False,rs11620668
OneK1K_Yazar_2022,dc,IRF1,2903,0.0033305390331202,0.728016867593556,0.921091466149725,False,rs11739623
OneK1K_Yazar_2022,dc,JUNB,2854,0.0064354698616818,0.700605734351705,0.820815422473496,False,rs1985579
OneK1K_Yazar_2022,dc,KLF10,4515,0.0002768843584958,0.239555311887673,0.46619686251062,False,rs72667248
OneK1K_Yazar_2022,nk,ATF3,3522,0.0023296774009294,0.216506923588173,0.481440722102023,False,rs148579339
OneK1K_Yazar_2022,nk,CDKN1A,3973,0.001502039378953,0.0474054527310918,0.231427351408143,False,rs7762584
OneK1K_Yazar_2022,nk,CEBPB,3956,0.0007935362630809,0.0848950683546184,0.322380627709142,False,rs8119515
OneK1K_Yazar_2022,nk,EGR1,2142,0.0042617048758404,0.286197553062327,0.611648494632298,False,rs111700547
OneK1K_Yazar_2022,nk,EGR2,3848,0.0012493467824697,0.127005133560318,0.377511722741064,False,rs10821933
OneK1K_Yazar_2022,nk,FOS,3058,0.0051752581174847,0.346804929891292,0.654549272944321,False,rs11159082
OneK1K_Yazar_2022,nk,IRF1,3083,4.8534368473928e-11,4.42676155118108e-08,6.25071761639606e-06,True,rs2269821
OneK1K_Yazar_2022,nk,JUNB,2854,0.0023433795903384,0.277917469781546,0.578015480592021,False,rs2121984
OneK1K_Yazar_2022,nk,KLF10,4515,0.0008271169266694,0.0948565672231971,0.314352668039863,False,rs2511656
OneK1K_Yazar_2022,nkr,CEBPB,3956,0.0056703569154703,0.746892511925882,0.889564669363373,False,rs237467
OneK1K_Yazar_2022,nkr,EGR1,2142,0.0042845539798012,0.801273508511153,0.921848639330712,False,rs4835716
OneK1K_Yazar_2022,nkr,FOS,3058,0.0018695865051859,0.618023697480122,0.775131288818817,False,rs56239808
OneK1K_Yazar_2022,nkr,IRF1,2903,0.0002236999391853,0.30602898095437,0.644167833828923,False,rs7719499
OneK1K_Yazar_2022,nkr,JUNB,2854,0.0010785474435292,0.521315716326887,0.820967263548178,False,rs10412588
OneK1K_Yazar_2022,nkr,KLF10,4515,0.0088127221731018,0.84303657430051,0.945999779563769,False,rs7825152
OneK1K_Yazar_2022,plasma,CDKN1A,3980,3.36649584856392e-10,2.6995127012799503e-09,2.16614957445562e-07,True,rs11759995
OneK1K_Yazar_2022,plasma,CEBPB,3956,0.0016027709339433,0.552517210727563,1.0,False,rs76089689
OneK1K_Yazar_2022,plasma,EGR1,2142,0.0204342503404223,0.968979933030801,1.0,False,rs113188400
OneK1K_Yazar_2022,plasma,FOS,3058,0.0021515121836139,0.753476212823604,0.906295890391124,False,rs7141438
OneK1K_Yazar_2022,plasma,IRF1,2903,0.0036092907313216,0.861531914383529,1.0,False,rs11950815
OneK1K_Yazar_2022,plasma,JUNB,2854,0.0054555722190836,0.86895401596152,1.0,False,rs76247935
OneK1K_Yazar_2022,plasma,KLF10,4515,0.0002166521815141,0.225847930790239,0.856477027770462,False,rs60455429
