TF,compartment,HLMA_age_log2FC,HLMA_wald_t,MoTrPAC_EE_logFC_24hr,effective_n,classification,classification_reason,pearson_r_compartment,pearson_p_compartment,n_usable
CEBPB,FAP,2.70300726328854,1.89179269883656,-0.0122845545947872,9,SPECULATIVE_ONLY,"N=9 TFs per compartment — correlation is underpowered; reported as exploratory descriptor, not an ESTABLISHED finding (brief v2 rigor clause on n<25 correlations).",0.024277165948682414,0.9505672480618809,9
KLF10,FAP,1.7823973831754754,0.9755718867621102,-0.535750683379993,9,SPECULATIVE_ONLY,"N=9 TFs per compartment — correlation is underpowered; reported as exploratory descriptor, not an ESTABLISHED finding (brief v2 rigor clause on n<25 correlations).",0.024277165948682414,0.9505672480618809,9
IRF1,FAP,0.815051458046892,0.4784579094705753,0.129274768034132,9,SPECULATIVE_ONLY,"N=9 TFs per compartment — correlation is underpowered; reported as exploratory descriptor, not an ESTABLISHED finding (brief v2 rigor clause on n<25 correlations).",0.024277165948682414,0.9505672480618809,9
CDKN1A,FAP,4.024758044135542,1.5738980514555776,0.000754226038072847,9,SPECULATIVE_ONLY,"N=9 TFs per compartment — correlation is underpowered; reported as exploratory descriptor, not an ESTABLISHED finding (brief v2 rigor clause on n<25 correlations).",0.024277165948682414,0.9505672480618809,9
JUNB,MuSC,0.9549081517441173,1.0013728877618495,-0.264970118218555,9,SPECULATIVE_ONLY,"N=9 TFs per compartment — correlation is underpowered; reported as exploratory descriptor, not an ESTABLISHED finding (brief v2 rigor clause on n<25 correlations).",0.6707387855995501,0.04798207792832158,9
FOS,MuSC,1.5311924612927523,1.7975633255649588,0.130071958127742,9,SPECULATIVE_ONLY,"N=9 TFs per compartment — correlation is underpowered; reported as exploratory descriptor, not an ESTABLISHED finding (brief v2 rigor clause on n<25 correlations).",0.6707387855995501,0.04798207792832158,9
EGR1,MuSC,0.7121600457111568,0.8268915254164623,-0.249619381675334,9,SPECULATIVE_ONLY,"N=9 TFs per compartment — correlation is underpowered; reported as exploratory descriptor, not an ESTABLISHED finding (brief v2 rigor clause on n<25 correlations).",0.6707387855995501,0.04798207792832158,9
EGR2,MuSC,-0.715768377539513,-0.5862381974849002,-0.702927468230006,9,SPECULATIVE_ONLY,"N=9 TFs per compartment — correlation is underpowered; reported as exploratory descriptor, not an ESTABLISHED finding (brief v2 rigor clause on n<25 correlations).",0.6707387855995501,0.04798207792832158,9
ATF3,MuSC,0.4400571207744798,0.3984599358225937,0.192487750640924,9,SPECULATIVE_ONLY,"N=9 TFs per compartment — correlation is underpowered; reported as exploratory descriptor, not an ESTABLISHED finding (brief v2 rigor clause on n<25 correlations).",0.6707387855995501,0.04798207792832158,9
CEBPB,MuSC,1.3964177561192688,1.179464721287476,-0.0122845545947872,9,SPECULATIVE_ONLY,"N=9 TFs per compartment — correlation is underpowered; reported as exploratory descriptor, not an ESTABLISHED finding (brief v2 rigor clause on n<25 correlations).",0.6707387855995501,0.04798207792832158,9
KLF10,MuSC,-0.0270853297359107,-0.028857148224917,-0.535750683379993,9,SPECULATIVE_ONLY,"N=9 TFs per compartment — correlation is underpowered; reported as exploratory descriptor, not an ESTABLISHED finding (brief v2 rigor clause on n<25 correlations).",0.6707387855995501,0.04798207792832158,9
IRF1,MuSC,0.4289884916794491,0.3966207957453794,0.129274768034132,9,SPECULATIVE_ONLY,"N=9 TFs per compartment — correlation is underpowered; reported as exploratory descriptor, not an ESTABLISHED finding (brief v2 rigor clause on n<25 correlations).",0.6707387855995501,0.04798207792832158,9
CDKN1A,MuSC,0.483754635664571,0.3645161131190441,0.000754226038072847,9,SPECULATIVE_ONLY,"N=9 TFs per compartment — correlation is underpowered; reported as exploratory descriptor, not an ESTABLISHED finding (brief v2 rigor clause on n<25 correlations).",0.6707387855995501,0.04798207792832158,9
